Part,EDA,ECG,Respiration,Eyetracker,Game,Mouse Pos,Mouse Button,Keyboard,Face video,Face features,Depth video,Game video,Game resolution,Game audio,Game speech,Annot vlc,Annot arsl,NOTES,Consent_Q1,Consent_Q2,Consent_Q3,Consent_Q4,Consent_Q5,Consent_Q6
s43p4,3,1,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg can see r-peaks but low quality HR extraction not good,3,3,3,3,3,3
s44p1,1,2,3,3,2,0,3,2,3,3,3,3,1280x1024,,,0,3,ecg upside-down?,3,3,3,3,3,0
s44p2,0,2,3,3,3,0,3,3,3,3,3,3,1280x960,,,3,0,,3,3,0,3,3,0
s44p3,2,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,Eda with artifacts ecg noisy low quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,0,3,3,0
s44p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,eda needs smoothing ecg can see r-peaks but a little noisy,3,3,0,0,3,0
s45p1,0,0,0,3,3,0,3,3,3,3,3,3,1280x720,,,0,3,,3,3,3,3,3,3
s45p2,3,3,3,3,3,0,3,3,3,3,3,3,1280x960,,,3,0,,3,3,3,3,3,3
s45p3,3,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,Ecg can see r-peaks but low quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s45p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s46p1,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s46p2,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,0,0,0
s46p3,1,1,3,3,3,0,3,3,3,3,3,3,1898x1080,,,3,0,Ecg can see r-peaks but very low quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,0
s46p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,respiration has heart rate artifacts,3,3,3,3,3,3
s47p1,2,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda has artifacts,3,3,3,3,3,3
s47p2,2,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda has artifacts,3,3,3,3,3,3
s47p3,0,0,0,3,3,0,3,3,3,3,3,3,1898x1080,,,3,0,obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s47p4,0,3,3,3,3,0,3,3,3,3,3,3,1600x900,,,3,0,,3,3,3,3,3,3
s48p1,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s48p2,0,0,3,3,2,0,3,3,3,3,3,0,1920x1080,,,0,3,TO CHECK – game was restarted at some point,3,3,3,3,3,3
s48p3,2,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,3,0,Eda has artifacts ecg is upside-down and lower quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s48p4,2,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg upside-down eda very low precision needs smoothing,3,3,3,3,3,3
s49p1,3,3,3,0,3,0,3,3,2,2,2,3,1600x900,,,3,0,face video face cut-off,0,3,3,3,3,3
s49p2,0,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg upside-down?,3,3,3,3,3,3
s49p3,3,0,3,3,3,0,3,3,3,3,3,3,1258x1080,,,0,3,Ecg lower quality eda bad obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s49p4,3,3,3,3,3,0,3,3,3,3,3,0,1920x1080,,,0,0,,3,3,3,3,3,3
s50p1,3,3,3,3,3,0,3,3,3,3,3,3,1600x900,,,3,0,,3,3,3,3,3,3
s50p2,1,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,eda very low precision and quality,3,3,3,3,3,3
s50p3,3,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,Ecg upside-down and lower quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s50p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s51p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,eda needs smoothing,3,3,3,3,3,3
s51p2,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s51p3,2,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,Eda needs smoothing ecg can see r-peaks but noisy low quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s51p4,0,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s52p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg has some noisy parts,3,3,3,3,3,3
s52p2,0,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s52p3,0,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,Ecg can see r-peaks but low quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s52p4,0,1,3,3,3,0,3,3,1,1,3,3,1920x1080,,,3,0,Face video wears mask ecg upside-down,3,0,0,0,0,0
s53p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s53p2,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,0,3,0,0
s53p3,1,0,3,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s53p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s54p1,3,3,3,3,3,0,3,3,0,0,0,3,1920x1080,,,3,0,,3,3,3,3,3,0
s54p2,2,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,eda needs smoothing and has artifacts,3,3,3,3,3,3
s54p3,0,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,Ecg can see r-peaks but low quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s54p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s55p1,2,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda needs smoothing,3,3,3,3,3,3
s55p2,0,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s55p3,3,2,3,3,3,0,3,3,3,3,3,0,1898x1080,,,0,0,Ecg upside-down and lower quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s55p4,3,3,3,3,3,0,3,3,3,3,3,0,1920x1080,,,0,0,ecg upside-down?,3,3,3,3,3,3
s56p1,3,3,3,3,2,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s56p2,0,0,3,3,2,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s56p3,,,,0,0,0,0,0,0,0,0,0,1898x1080,,,0,3,RECHECK XDF TIMINGS obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s56p4,0,0,3,3,2,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s57p1,0,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s57p2,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s57p3,2,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,Ecg can see r-peaks but lower quality eda low precision and quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s57p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,0,0,3,3
s58p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,eda needs smoothing,3,3,3,3,3,3
s58p2,0,0,0,3,3,0,3,0,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s58p3,2,0,2,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s58p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s59p1,0,0,2,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s59p2,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s59p3,0,0,0,3,3,0,3,3,3,3,3,3,1898x1080,,,3,0,obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s59p4,3,3,3,3,3,0,3,3,3,3,3,0,1920x1080,,,3,0,TO CHECK – gameplay,3,3,3,3,3,3
s60p1,2,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,eda has artifacts,3,3,3,3,3,3
s60p2,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s60p3,2,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,3,0,Ecg can see r-peaks but low quality eda noisy obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s60p4,0,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s61p1,2,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda low precision,3,3,3,0,3,3
s61p2,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,0,3,3,3
s61p3,3,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,3,0,Ecg can see r-peaks but low quality eda low precision obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,0,3,3
s61p4,1,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,0,0,3,3
s62p1,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s62p2,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s62p3,0,0,0,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s62p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s63p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s63p2,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
